store,item,price_low_usd,brand_low,price_high_usd,brand_high,unit,note,quality_flag
Food Bazaar,Half Gallon Milk,2.99,Cream-O-Land,7.99,Horizon Organic,half gallon,,
Food Bazaar,12 Eggs,1.59,Esbenshade,10.99,Happy Egg,dozen,,
Food Bazaar,Banana,0.79,,,,per lb,,
Food Bazaar,Peanut Butter,3.49,Jif,14.29,Justin's,jar,,
Food Bazaar,Cheddar Cheese,2.99,Borden,5.49,Kerrygold,pack,,
Food Bazaar,Spinach,2.5,Uncle Vinny's,4.99,Organic Girl,pack,,
Food Bazaar,Chicken Breast,6.0,store brand,11.0,organic,per lb,,
Food Bazaar,Coffee,1.99,Cafe Aroma,15.09,Illy,pack,,
Mr. Fruit Stores,Half Gallon Milk,3.49,Cream-O-Land,6.49,Organic Valley,half gallon,,
Mr. Fruit Stores,12 Eggs,1.99,Saunders Amish Eggs,10.49,Handsome Brook Farm,dozen,,
Mr. Fruit Stores,Banana,0.79,,1.29,organic,per lb,,
Mr. Fruit Stores,Peanut Butter,3.99,Jif,8.49,Once Again,jar,,
Mr. Fruit Stores,Cheddar Cheese,3.49,Borden,4.99,Cabot,pack,,
Mr. Fruit Stores,Spinach,2.49,fresh,,,pack,,
Mr. Fruit Stores,Chicken Breast,13.99,Bell and Evans,,,pack,unit not stated in article,
Mr. Fruit Stores,Coffee,3.99,Cafe Bustelo,15.49,Stumptown,pack,,
Key Food,Half Gallon Milk,2.29,Farmland,6.79,Organic Valley,half gallon,,
Key Food,12 Eggs,1.67,Sunshine Farms,6.89,Pete and Gerry's,dozen,,
Key Food,Banana,0.49,,0.79,organic,per lb,,
Key Food,Peanut Butter,3.29,Jif,7.99,Once Again,jar,,
Key Food,Cheddar Cheese,2.49,Urban Meadow,5.19,Cracker Barrel,pack,,
Key Food,Spinach,2.99,Dole,4.99,Attitude,pack,,
Key Food,Chicken Breast,1.05,Urban Meadow,3.49,Perdue,per lb,,
Key Food,Coffee,2.19,Cafe Aroma,17.99,Downstate Roasters,pack,,
Food Story Natural Market,Half Gallon Milk,3.49,Midland Farms,6.49,Organic Valley,half gallon,,
Food Story Natural Market,12 Eggs,2.69,Pine Belt Eggs,9.99,Happy Egg,dozen,,
Food Story Natural Market,Banana,0.99,,1.29,organic,per lb,,
Food Story Natural Market,Peanut Butter,3.99,Skippy,9.99,Once Again,jar,,
Food Story Natural Market,Cheddar Cheese,4.67,New York Cheddar,5.39,Cabot,pack,,
Food Story Natural Market,Spinach,2.99,fresh,3.99,Organic Girl,pack,,
Food Story Natural Market,Chicken Breast,15.99,only option,,,per lb,,
Food Story Natural Market,Coffee,3.99,Cafe Bustelo,16.99,Blue Bottle,pack,,
Shop Fair,Half Gallon Milk,2.69,Cream-O-Land,,,half gallon,,
Shop Fair,12 Eggs,2.0,Sunshine Farms,4.59,Sunshine Farms Cage Free,dozen,,
Shop Fair,Banana,0.59,,0.89,organic,per lb,,
Shop Fair,Peanut Butter,2.99,Jif,6.29,Smart Balance,jar,,
Shop Fair,Cheddar Cheese,1.99,Farms Creamery,5.79,Boar's Head,pack,,
Shop Fair,Spinach,2.99,Dole,3.99,Organic Girl,pack,,
Shop Fair,Coffee,1.67,Cafe Eldorado,13.29,Starbucks,pack,no chicken listed,
City Fresh Market,Half Gallon Milk,4.49,2% Derle Hygrade,9.99,Maple Hill Creamery Organic,gallon (as printed),article lists a gallon price under half-gallon heading,unit_mismatch
City Fresh Market,12 Eggs,1.89,Mitlitsky,10.99,Happy Egg,dozen,,
City Fresh Market,Banana,0.69,,,,per lb,,
City Fresh Market,Peanut Butter,3.79,Jif,,,jar,,
City Fresh Market,Cheddar Cheese,4.99,Kraft,,,pack,,
City Fresh Market,Spinach,2.99,bunch,,,bunch,,
City Fresh Market,Chicken Breast,4.12,,,,per lb,,
City Fresh Market,Coffee,5.99,Folgers,12.49,local roast,pack,,
Hana Natural,Half Gallon Milk,4.59,Organic Valley,,,half gallon,,
Hana Natural,12 Eggs,4.29,,10.0,,dozen,,
Hana Natural,Banana,1.29,,,,per lb,,
Hana Natural,Peanut Butter,7.49,Woodstock Organic Farms,,,jar,,
Hana Natural,Cheddar Cheese,4.66,store brand,,,pack,,
Hana Natural,Spinach,3.29,bunch,,,bunch,,
Hana Natural,Coffee,7.99,,,,pack,'$7.99 and up'; no chicken listed,open_ended
Met Fresh,Half Gallon Milk,4.59,Tuscan Dairy Farms,,,gallon (as printed),article lists a gallon price under half-gallon heading,unit_mismatch
Met Fresh,12 Eggs,1.69,,,,dozen,,
Met Fresh,Banana,0.79,,,,per lb,,
Met Fresh,Peanut Butter,2.49,Avenue A,,,jar,,
Met Fresh,Cheddar Cheese,2.99,Tropical,,,pack,,
Met Fresh,Chicken Breast,3.54,,,,per lb,,
Met Fresh,Kale,1.29,bunch,,,bunch,kale instead of spinach,
Met Fresh,Coffee,5.29,Folgers,7.99,local roasts,pack,'$7.99 and up',open_ended
Billy's Marketplace (C Town),Half Gallon Milk,4.19,Tuscan Dairy Farms,,,half gallon,,
Billy's Marketplace (C Town),12 Eggs,1.39,,,,dozen,,
Billy's Marketplace (C Town),Banana,1.39,,,,per lb,,
Billy's Marketplace (C Town),Peanut Butter,3.19,Skippy,,,jar,,
Billy's Marketplace (C Town),Cheddar Cheese,2.49,Krasdale,,,pack,,
Billy's Marketplace (C Town),Chicken,2.69,Perdue,,,per lb,,
Billy's Marketplace (C Town),Spinach,3.69,bunch,,,bunch,,
Billy's Marketplace (C Town),Coffee,3.69,Folgers,8.39,local roasts,pack,'$8.39 and up',open_ended
Associated Supermarkets,Half Gallon Milk,4.19,Cream-O-Land,,,gallon (as printed),article lists a gallon price under half-gallon heading,unit_mismatch
Associated Supermarkets,12 Eggs,2.0,,,,dozen,,
Associated Supermarkets,Banana,1.09,,,,per lb,,
Associated Supermarkets,Chicken (legs),0.89,,,,per lb,,
Associated Supermarkets,Spinach,3.0,bunch,,,bunch,,
Associated Supermarkets,Peanut Butter,3.19,Skippy,,,jar,verbatim duplicate of Billy's line in source article,dup_from_billys
Associated Supermarkets,Cheddar Cheese,2.49,Krasdale,,,pack,verbatim duplicate of Billy's line in source article,dup_from_billys
Associated Supermarkets,Chicken,2.69,Perdue,,,per lb,verbatim duplicate of Billy's line in source article,dup_from_billys
Associated Supermarkets,Spinach,3.69,bunch,,,bunch,verbatim duplicate of Billy's line in source article; conflicts with $3.00 bunch above,dup_from_billys
Associated Supermarkets,Coffee,3.69,Folgers,8.39,local roasts,pack,verbatim duplicate of Billy's line in source article,dup_from_billys
