source,year,store,item,price_usd_low,price_usd_high,unit,brand_low,brand_high,note,quality_flag
bd_article_2017,2017,Trader Joe's,17-item basket total,48.05,,basket,,,,
bd_article_2017,2017,Associated,17-item basket total,53.04,,basket,,,,
bd_article_2017,2017,City Fresh,17-item basket total,55.11,,basket,,,,
bd_article_2017,2017,Key Food,17-item basket total,56.66,,basket,,,,
bd_article_2017,2017,Food Bazaar,17-item basket total,58.27,,basket,,,,
bd_article_2017,2017,Whole Foods,17-item basket total,61.29,,basket,,,,
bd_article_2017,2017,Food Story,17-item basket total,74.83,,basket,,,,
bd_article_2017,2017,Hana Natural,17-item basket total,79.83,,basket,,,,
bd_article_2017,2017,Brooklyn's Natural,17-item basket total,46.88,,basket,,,incomplete basket: many items unpriced/absent; adjusted estimate $62.07 excluding canned beans and chicken breasts (not stocked),incomplete_basket
bd_article_2017,2017,Trader Joe's,Peanut Butter,2.49,,jar,,,almost $1 cheaper than everywhere but Key Food,
bd_article_2017,2017,Key Food,Peanut Butter,2.79,,jar,,,same size as Trader Joe's jar,
bd_article_2017,2017,Associated,Chicken (family pack),1.69,,per lb,,,cheapest chicken of the bunch,
bd_article_2017,2017,Food Story,Chicken,10.99,,per lb,,,most expensive chicken,
bd_article_2017,2017,Associated,Butter,2.99,,per lb (four quarters),,,,
bd_article_2017,2017,Hana Natural,Butter,6.69,,per lb,,,,
bd_article_2017,2017,Associated,Kale,1.49,,per lb,,,,
bd_article_2017,2017,City Fresh,Carrots,0.69,,per lb,,,greatest number of cheapest items,
bd_article_2017,2017,Food Bazaar,Carrots,2.99,,2-lb bag,,,most expensive carrots,
bd_article_2017,2017,City Fresh,Rice (Arroz Rico),1.99,,2-lb bag,,,,
bd_article_2017,2017,City Fresh,Tofu,3.29,,each,,,most expensive tofu of the bunch,
bd_article_2017,2017,Hana Natural,Black Beans (can),2.49,,can,,,,
bd_article_2017,2017,Hana Natural,Greek Yogurt (Fage 17.5 oz),5.99,,17.5-oz container,,,one dollar more than Brooklyn's Natural,
bd_article_2017,2017,Brooklyn's Natural,Greek Yogurt (Fage 17.5 oz),4.99,,17.5-oz container,,,implied: $1 less than Hana Natural,
bd_article_2021,2021,Food Bazaar,Half Gallon Milk,2.99,7.99,half gallon,Cream-O-Land,Horizon Organic,,
bd_article_2021,2021,Food Bazaar,12 Eggs,1.59,10.99,dozen,Esbenshade,Happy Egg,,
bd_article_2021,2021,Food Bazaar,Banana,0.79,,per lb,,,,
bd_article_2021,2021,Food Bazaar,Peanut Butter,3.49,14.29,jar,Jif,Justin's,,
bd_article_2021,2021,Food Bazaar,Cheddar Cheese,2.99,5.49,pack,Borden,Kerrygold,,
bd_article_2021,2021,Food Bazaar,Spinach,2.5,4.99,pack,Uncle Vinny's,Organic Girl,,
bd_article_2021,2021,Food Bazaar,Chicken Breast,6.0,11.0,per lb,store brand,organic,,
bd_article_2021,2021,Food Bazaar,Coffee,1.99,15.09,pack,Cafe Aroma,Illy,,
bd_article_2021,2021,Mr. Fruit Stores,Half Gallon Milk,3.49,6.49,half gallon,Cream-O-Land,Organic Valley,,
bd_article_2021,2021,Mr. Fruit Stores,12 Eggs,1.99,10.49,dozen,Saunders Amish Eggs,Handsome Brook Farm,,
bd_article_2021,2021,Mr. Fruit Stores,Banana,0.79,1.29,per lb,,organic,,
bd_article_2021,2021,Mr. Fruit Stores,Peanut Butter,3.99,8.49,jar,Jif,Once Again,,
bd_article_2021,2021,Mr. Fruit Stores,Cheddar Cheese,3.49,4.99,pack,Borden,Cabot,,
bd_article_2021,2021,Mr. Fruit Stores,Spinach,2.49,,pack,fresh,,,
bd_article_2021,2021,Mr. Fruit Stores,Chicken Breast,13.99,,pack,Bell and Evans,,unit not stated in article,
bd_article_2021,2021,Mr. Fruit Stores,Coffee,3.99,15.49,pack,Cafe Bustelo,Stumptown,,
bd_article_2021,2021,Key Food,Half Gallon Milk,2.29,6.79,half gallon,Farmland,Organic Valley,,
bd_article_2021,2021,Key Food,12 Eggs,1.67,6.89,dozen,Sunshine Farms,Pete and Gerry's,,
bd_article_2021,2021,Key Food,Banana,0.49,0.79,per lb,,organic,,
bd_article_2021,2021,Key Food,Peanut Butter,3.29,7.99,jar,Jif,Once Again,,
bd_article_2021,2021,Key Food,Cheddar Cheese,2.49,5.19,pack,Urban Meadow,Cracker Barrel,,
bd_article_2021,2021,Key Food,Spinach,2.99,4.99,pack,Dole,Attitude,,
bd_article_2021,2021,Key Food,Chicken Breast,1.05,3.49,per lb,Urban Meadow,Perdue,,
bd_article_2021,2021,Key Food,Coffee,2.19,17.99,pack,Cafe Aroma,Downstate Roasters,,
bd_article_2021,2021,Food Story Natural Market,Half Gallon Milk,3.49,6.49,half gallon,Midland Farms,Organic Valley,,
bd_article_2021,2021,Food Story Natural Market,12 Eggs,2.69,9.99,dozen,Pine Belt Eggs,Happy Egg,,
bd_article_2021,2021,Food Story Natural Market,Banana,0.99,1.29,per lb,,organic,,
bd_article_2021,2021,Food Story Natural Market,Peanut Butter,3.99,9.99,jar,Skippy,Once Again,,
bd_article_2021,2021,Food Story Natural Market,Cheddar Cheese,4.67,5.39,pack,New York Cheddar,Cabot,,
bd_article_2021,2021,Food Story Natural Market,Spinach,2.99,3.99,pack,fresh,Organic Girl,,
bd_article_2021,2021,Food Story Natural Market,Chicken Breast,15.99,,per lb,only option,,,
bd_article_2021,2021,Food Story Natural Market,Coffee,3.99,16.99,pack,Cafe Bustelo,Blue Bottle,,
bd_article_2021,2021,Shop Fair,Half Gallon Milk,2.69,,half gallon,Cream-O-Land,,,
bd_article_2021,2021,Shop Fair,12 Eggs,2.0,4.59,dozen,Sunshine Farms,Sunshine Farms Cage Free,,
bd_article_2021,2021,Shop Fair,Banana,0.59,0.89,per lb,,organic,,
bd_article_2021,2021,Shop Fair,Peanut Butter,2.99,6.29,jar,Jif,Smart Balance,,
bd_article_2021,2021,Shop Fair,Cheddar Cheese,1.99,5.79,pack,Farms Creamery,Boar's Head,,
bd_article_2021,2021,Shop Fair,Spinach,2.99,3.99,pack,Dole,Organic Girl,,
