store_canonical,name_variants,basket_total_2017_usd,selection_2021,accessibility_2021,cleanliness_2021,price_2021,sales_discounts_2021,customer_service_2021
Associated Supermarkets,Associated; Associated Supermarkets,53.04,4,4,3,4,5,4
Billy's Marketplace (C Town),Billy's Marketplace (C Town),,5,4,4,4,5,3
Brooklyn's Natural,Brooklyn's Natural,46.88,,,,,,
City Fresh Market,City Fresh; City Fresh Market,55.11,5,5,4,4,4,5
Food Bazaar,Food Bazaar,58.27,5,4,4,5,5,4
Food Story Natural Market,Food Story; Food Story Natural Market,74.83,5,5,5,3,3,5
Hana Natural,Hana Natural,79.83,3,5,5,2,2,5
Key Food,Key Food,56.66,4,5,5,4,4,5
Met Fresh,Met Fresh,,3,4,4,5,5,4
Mr. Fruit Stores,Mr. Fruit Stores,,5,4,4,4,4,5
Shop Fair,Shop Fair,,4,4,5,5,4,4
Trader Joe's,Trader Joe's,48.05,,,,,,
Whole Foods,Whole Foods,61.29,,,,,,
