worksheet,store,metric,score,item,brand,price,high_low,cart_total,location_name,address,open_time,close_time,map_x,map_y,description
Metric by Store,Shop Fair,Accessibility,4,,,,,,,,,,,,
Metric by Store,Mr. Fruit Stores,Accessibility,4,,,,,,,,,,,,
Metric by Store,Met Fresh,Accessibility,4,,,,,,,,,,,,
Metric by Store,Food Bazaar,Accessibility,4,,,,,,,,,,,,
Metric by Store,Billy's Marketplace (C Town),Accessibility,4,,,,,,,,,,,,
Metric by Store,Associated Supermarkets (Brooklyn),Accessibility,4,,,,,,,,,,,,
Metric by Store,Key Food,Accessibility,5,,,,,,,,,,,,
Metric by Store,Hana Natural,Accessibility,5,,,,,,,,,,,,
Metric by Store,Food Story Natural Market,Accessibility,5,,,,,,,,,,,,
Metric by Store,City Fresh Market,Accessibility,5,,,,,,,,,,,,
Metric by Store,Associated Supermarkets (Brooklyn),Cleanliness,3,,,,,,,,,,,,
Metric by Store,Mr. Fruit Stores,Cleanliness,4,,,,,,,,,,,,
Metric by Store,Met Fresh,Cleanliness,4,,,,,,,,,,,,
Metric by Store,Food Bazaar,Cleanliness,4,,,,,,,,,,,,
Metric by Store,City Fresh Market,Cleanliness,4,,,,,,,,,,,,
Metric by Store,Billy's Marketplace (C Town),Cleanliness,4,,,,,,,,,,,,
Metric by Store,Shop Fair,Cleanliness,5,,,,,,,,,,,,
Metric by Store,Key Food,Cleanliness,5,,,,,,,,,,,,
Metric by Store,Hana Natural,Cleanliness,5,,,,,,,,,,,,
Metric by Store,Food Story Natural Market,Cleanliness,5,,,,,,,,,,,,
Metric by Store,Billy's Marketplace (C Town),Customer Service,3,,,,,,,,,,,,
Metric by Store,Shop Fair,Customer Service,4,,,,,,,,,,,,
Metric by Store,Met Fresh,Customer Service,4,,,,,,,,,,,,
Metric by Store,Food Bazaar,Customer Service,4,,,,,,,,,,,,
Metric by Store,Associated Supermarkets (Brooklyn),Customer Service,4,,,,,,,,,,,,
Metric by Store,Mr. Fruit Stores,Customer Service,5,,,,,,,,,,,,
Metric by Store,Key Food,Customer Service,5,,,,,,,,,,,,
Metric by Store,Hana Natural,Customer Service,5,,,,,,,,,,,,
Metric by Store,Food Story Natural Market,Customer Service,5,,,,,,,,,,,,
Metric by Store,City Fresh Market,Customer Service,5,,,,,,,,,,,,
Metric by Store,Hana Natural,Price,2,,,,,,,,,,,,
Metric by Store,Food Story Natural Market,Price,3,,,,,,,,,,,,
Metric by Store,Mr. Fruit Stores,Price,4,,,,,,,,,,,,
Metric by Store,Key Food,Price,4,,,,,,,,,,,,
Metric by Store,City Fresh Market,Price,4,,,,,,,,,,,,
Metric by Store,Billy's Marketplace (C Town),Price,4,,,,,,,,,,,,
Metric by Store,Associated Supermarkets (Brooklyn),Price,4,,,,,,,,,,,,
Metric by Store,Shop Fair,Price,5,,,,,,,,,,,,
Metric by Store,Met Fresh,Price,5,,,,,,,,,,,,
Metric by Store,Food Bazaar,Price,5,,,,,,,,,,,,
Metric by Store,Hana Natural,Sales/Discounts,2,,,,,,,,,,,,
