store,food_group,item,brand_quantity,regular_price,sale_price,on_sale,effective_price,available,sale_note,notes,date_collected,comparability_flag,comparability_note
Associated,Produce,Apples,"Gala, per lb",2.69,,False,2.69,True,,,2026-07-13,OK,
Associated,Produce,Bananas,"Dole, per lb",0.89,,False,0.89,True,,,2026-07-13,OK,
Associated,Produce,Tomatoes,"On the vine, per lb",2.69,,False,2.69,True,,,2026-07-13,OK,
Associated,Produce,Kale,Per lb,1.99,,False,1.99,True,,,2026-07-13,OK,
Associated,Produce,Spinach,"Attitude, 5 oz",4.79,,False,4.79,True,,,2026-07-13,OK,
Associated,Grains,Bread,Wonderbread 20z,2.99,,False,2.99,True,,,2026-07-13,OK,
Associated,Protein,Peanut Butter,"Jif, 16 oz",4.29,,False,4.29,True,,,2026-07-13,Different,"Jif (16oz) — different brand, ~same size"
Associated,Pantry & Beverages,Honey,Golden Blossom (12 oz),7.29,,False,7.29,True,,,2026-07-13,OK,
Associated,Grains,Rice,Caronlina (2lb),3.49,,False,3.49,True,,,2026-07-13,OK,
Associated,Pantry & Beverages,Coffee,"Bustelo, 10 oz",13.49,,False,13.49,True,,,2026-07-13,OK,
Associated,Protein,Black Beans,"Goya, 1 standard can",1.69,,False,1.69,True,,,2026-07-13,OK,
Associated,Dairy,Milk,Organic Vally,9.99,,False,9.99,True,,,2026-07-13,Unclear,Half-gallon size not explicitly confirmed
Associated,Dairy,Butter,Kerrygold 8oz,7.99,,False,7.99,True,,,2026-07-13,OK,
Associated,Dairy,Cheddar Cheese,Cabot (8oz),5.99,,False,5.99,True,,,2026-07-13,OK,
Associated,Dairy,Greek yogurt,Chobani (5.3 oz),2.49,,False,2.49,True,,,2026-07-13,OK,
Associated,Protein,Tofu,House foods,2.99,,False,2.99,True,,,2026-07-13,OK,
Associated,Protein,Chicken Breast,Perdue thin sliced chicken cutlets (per lb),7.99,,False,7.99,True,,,2026-07-13,Different,"Perdue, thin-sliced cutlets"
Associated,Treats & Alcohol,Beer,"Modelo, 6 pack",12.99,,False,12.99,True,,,2026-07-13,OK,
Associated,Treats & Alcohol,Ice Cream,Hagen-Daz,5.99,,False,5.99,True,,,2026-07-13,OK,
Associated,Grains,Cereal,Honey Nut Cheerios (10.8 oz),7.99,,False,7.99,True,,,2026-07-13,Mismatch,"Honey Nut Cheerios, 10.8oz — different flavor AND a larger box than the 8.9oz plain Cheerios elsewhere"
Associated,Protein,Eggs,Sunshine Farms (12 pack),5.69,,False,5.69,True,,,2026-07-13,OK,
Billy's Marketplace,Produce,Apples,"Store brand, per lb",1.99,1.99,False,1.99,True,,,2026-07-14,Unclear,"Just ""store brand"" — variety not recorded"
Billy's Marketplace,Produce,Bananas,"Chiquitas, per lb",0.79,,False,0.79,True,,,2026-07-14,OK,
Billy's Marketplace,Produce,Tomatoes,On the vine,2.49,,False,2.49,True,,,2026-07-14,Unclear,"Just ""USA"" — variety not recorded"
Billy's Marketplace,Produce,Kale,"store brand (by bunch, weight around .45lb)",2,,False,2,True,,,2026-07-14,Mismatch,"Priced by the bunch, not per lb — not directly comparable"
Billy's Marketplace,Produce,Spinach,Olivia organic,4.69,,False,4.69,True,,,2026-07-14,Unclear,Bag size not recorded
Billy's Marketplace,Grains,Bread,Wonder Bread (20oz),3.49,,False,3.49,True,,,2026-07-14,OK,
Billy's Marketplace,Protein,Peanut Butter,Jif (16oz),3.5,,False,3.5,True,,,2026-07-14,Different,"Jif (16oz) — different brand, ~same size"
Billy's Marketplace,Pantry & Beverages,Honey,Golden Blossom (12oz),8.29,,False,8.29,True,,,2026-07-14,OK,
Billy's Marketplace,Grains,Rice,Caronlina (2lb),3.49,,False,3.49,True,,,2026-07-14,OK,
Billy's Marketplace,Pantry & Beverages,Coffee,"Cafe Bustelo, 10 oz",11.99,,False,11.99,True,,,2026-07-14,OK,
Billy's Marketplace,Protein,Black Beans,Goya,1.69,1.67,True,1.67,True,3 for $5,,2026-07-14,OK,
Billy's Marketplace,Dairy,Milk,Organic Valley,8.49,,False,8.49,True,,,2026-07-14,Unclear,Half-gallon size not explicitly confirmed
Billy's Marketplace,Dairy,Butter,Kerrygold (2 stick),7.99,,False,7.99,True,,,2026-07-14,OK,
Billy's Marketplace,Dairy,Cheddar Cheese,Cabot,6.19,,False,6.19,True,,,2026-07-14,Unclear,Size not recorded
Billy's Marketplace,Dairy,Greek yogurt,Chobani,2.49,,False,2.49,True,,,2026-07-14,Unclear,Cup size not recorded
Billy's Marketplace,Protein,Tofu,,,,False,,False,,Not available / not recorded at this store,2026-07-14,OK,
Billy's Marketplace,Protein,Chicken Breast,Chicken breast thin sliced (per lb),6.49,,False,6.49,True,,,2026-07-14,Different,"Perdue, thin-sliced"
